Year,Authors,Title,Publication,Volume,Number,Pages,Publisher,DOIs,Relevant? Cody review,Notes,Found pdf?,Has supplementary materials? (yes/no),Is supplementary material in folder?,Supplementary material file name,Who is looking for this paper? (Initials)
2011,"Yang, Hyuna; Wang, Jeremy R; Didion, John P; Buus, Ryan J; Bell, Timothy A; Welsh, Catherine E; Bonhomme, François; Yu, Alex Hon-Tsen; Nachman, Michael W; Pialek, Jaroslav; ",Subspecific origin and haplotype diversity in the laboratory mouse,Nature genetics,43,7,648-655,Nature Publishing Group,10.1038/ng.847,,,Yes,Yes,,,ERC
2011,"Yu, Hon-Tsen; Ma, Gwo-Chin; Lee, Dong-Jay; Chin, Shih-Chien; Tsao, Hsien-Shao; Wu, Sheng-Hai; Shih, Shu-Yi; Chen, Ming; ",Molecular delineation of the Y-borne Sry gene in the Formosan pangolin (Manis pentadactyla pentadactyla) and its phylogenetic implications for Pholidota in extant mammals,Theriogenology,75,1,55-64,Elsevier,10.1016/j.theriogenology.2010.07.010,,,Yes,No,NA,NA,ERC
2011,"Zelditch, M. L.; Swiderski, D. L.; ",Epigenetic interactions: the developmental route to functional integration,"Epigenetics: Linking Genotype and Phenotype in Development and Evolution (B. Hallgrímsson and B. K. Hall, eds.)",,,290-316,,,,Citation only,No,No,NA,NA,ERC
2010,"Campbell, Joshua W; Mengak, Michael T; Castleberry, Steven B; Mejia, Jason D; ",Distribution and status of uncommon mammals in the Southern Appalachian Mountains,Southeastern Naturalist,9,2,275-302,Eagle Hill Institute,10.1656/058.009.0206,,,Yes,No,NA,NA,ERC
2010,"Carstens, B. C.; Dewey, T. A.; ",Species Delimitation Using a Combined Coalescent and Information-Theoretic Approach: An Example from North American Myotis Bats,Systematic Biology,59,4,400-414,,10.1093/sysbio/syq024,,,Yes,Yes,Yes,syq024_supplementary_data,ERC
2010,"Chatfield, MWH; Kozak, KH; Fitzpatrick, BM; Tucker, PK; ",Patterns of differential introgression in a salamander hybrid zone: inferences from genetic data and ecological niche modelling,Molecular ecology,19,19,4265-4282,Blackwell Publishing Ltd,10.1111/j.1365-294X.2010.04796.x,,,Yes,No,NA,NA,ERC
2010,"Esselstyn, Jacob A; Goodman, Steven M; ","New species of shrew (Soricidae: Crocidura) from Sibuyan Island, Philippines",Journal of Mammalogy,91,6,1467-1472,"American Society of Mammalogists Illinois Natural History Survey, 1816 South …",10.1644/10-MAMM-A-002.1,,,Yes,No,NA,NA,ERC
2010,"Giarla, Thomas C; Voss, Robert S; Jansa, Sharon A; ",Species limits and phylogenetic relationships in the didelphid marsupial genus Thylamys based on mitochondrial DNA sequences and morphology,Bulletin of the American Museum of Natural History,2010,346,1-67,American Museum of Natural History,10.1206/716.1,,,Yes,No,NA,NA,ERC
2010,"Goswami, Anjali; Friscia, Anthony; ","Carnivoran evolution: new views on phylogeny, form and function",,,,,Cambridge University Press,,,eBook that would have to be purchased,No,No,NA,NA,ERC
2010,"Hellmann, Jessica J; Nadelhoffer, Knute J; Iverson, Louis R; Ziska, Lewis H; Matthews, Stephen N; Myers, Philip; Prasad, Anantha M; Peters, Matthew P; ","Climate change impacts on terrestrial ecosystems in metropolitan Chicago and its surrounding, multi-state region",Journal of Great Lakes Research,36,,74-85,Elsevier,10.1016/j.jglr.2009.12.001,,,Yes,No,NA,NA,ERC
2010,"Jones, J Knox; ","A new subspecies of the fruit-eating Bat, Sturnira ludovici, from western México",,,,,Quality Classics,,,Citation only,No,No,NA,NA,ERC
2010,"Ohazama, Atsushi; Blackburn, James; Porntaveetus, Thantrira; Ota, Masato S; Choi, Hong Y; Johnson, Eric B; Myers, Philip; Oommen, Shelly; Eto, Kazuhiro; Kessler, John A; ",A role for suppressed incisor cuspal morphogenesis in the evolution of mammalian heterodont dentition,Proceedings of the National Academy of Sciences,107,1,92-97,National Academy of Sciences,10.1073/pnas.0907236107,,,Yes,Yes,,,ERC
2010,"Rossi, Rogério V; Voss, Robert S; Lunde, Darrin P; ",A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate's ‘Mexicana’and ‘Mitis’ Sections and Other Closely Related Forms,Bulletin of the American Museum of Natural History,2010,334,1-83,American Museum of Natural History,10.1206/334.1,,,Yes,No,NA,NA,ERC
2010,"Soarimalala, Voahangy; Raheriarisena, Martin; Goodman, Steven M; ",New distributional records from central-eastern Madagascar and patterns of morphological variation in the Endangered shrew tenrec Microgale jobihely (Afrosoricida: Tenrecidae),,,,,Walter de Gruyter,10.1515/mamm.2010.017,,,Yes,No,NA,NA,ERC
2010,"Swiderski, D. L.; Zelditch, M. L.; ",Morphological diversity despite isometric scaling of lever arms,Evolutionary Biology,37,,1-18,,10.1007/s11692-010-9081-8,,,Yes,No,NA,NA,ERC
2010,"T Miracle, Preston; Brajković, Dejana; ","The palaeoecological signifi cance of the Pleistocene mammalian fauna from Veternica Cave, Croatia. Revision of the lagomorpha, canidae, mustelidae and felidae",Geologia Croatica,63,2,207-224,Hrvatski geološki institut,,,,Yes,No,NA,NA,ERC
2010,"Teeter, Katherine C; Thibodeau, Lisa M; Gompert, Zachariah; Buerkle, C Alex; Nachman, Michael W; Tucker, Priscilla K; ",The variable genomic architecture of isolation between hybridizing species of house mice,Evolution: International Journal of Organic Evolution,64,2,472-485,"Blackwell Publishing Inc Malden, USA",10.1111/j.1558-5646.2009.00846.x,,,Yes,No,NA,NA,ERC
2010,"Wang, GuoDong; Zhu, ZhouHai; Shi, Peng; Zhang, YaPing; ",Comparative genomic analysis reveals more functional nasal chemoreceptors in nocturnal mammals than in diurnal mammals,Chinese Science Bulletin,55,34,3901-3910,Springer,10.1007/s11434-010-4202-4,,,Yes,Yes,,,ERC
2010,"Woodman, Neal; ",Two new species of shrews (Soricidae) from the western highlands of Guatemala,Journal of Mammalogy,91,3,566-579,"American Society of Mammalogists Illinois Natural History Survey, 1816 South …",,,,Yes,No,NA,NA,ERC
2009,"Anderson, Robert P; Gutiérrez, Eliécer E; ",". Taxonomy, Distribution, and Natural History of the Genus Heteromys (Rodentia: Heteromyidae) in Central and Eastern Venezuela, with the Description of a New Species from the Cordillera de la Costa",Bulletin of the American Museum of Natural History,2009,331,33-93,American Museum of Natural History,10.1206/582-2.1,,,Yes,No,NA,NA,KNP
2009,"Carleton, Michael D; ",. They Sort Out Like Nuts and Bolts: A Scientific Biography of Guy G. Musser,Bulletin of the American Museum of Natural History,2009,331,4-32,American Museum of Natural History,10.1206/582-1.1,,,Yes,No,NA,NA,KNP
2009,"Carleton, Michael D; Arroyo-Cabrales, Joaquin; ",Review of the Oryzomys couesi Complex (Rodentia: Cricetidae: Sigmodontinae) in Western Mexico,Bulletin of the American Museum of Natural History,2009,331,94-127,American Museum of Natural History,10.1206/582-3.1,,,Yes,No,NA,NA,KNP
2009,"Carleton, Michael D; Emmons, Louise H; Musser, Guy G; ","A new species of the rodent genus Oecomys (Cricetidae: Sigmodontinae: Oryzomyini) from eastern Bolivia, with emended definitions of O. concolor (Wagner) and O. mamorae (Thomas)",American Museum Novitates,2009,3661,1-32,American Museum of Natural History,10.1206/612.1,,,Yes,No,NA,NA,KNP
2009,"CARLETON, MICHAEL D; EMMONS, LOUISE H; MUSSER, GUYG; ",Novitates,,,,,,,,Behind Pay wall,No,No,NA,NA,KNP
2009,"Chatfield, Matthew Williams Howard; ","Evolutionary dynamics among salamanders in the Plethodon glutinosus group, with an emphasis on three species: Plethodon jordani, Plethodon metcalfi, and Plethodon teyahalee (Caudata: Plethodontidae)",,,,,University of Michigan,,,,Yes,No,NA,NA,KNP
2009,"Gardner, Alfred L; Carleton, Michael D; ",". A New Species of Reithrodontomys, Subgenus Aporodon (Cricetidae: Neotominae), from the Highlands of Costa Rica, with Comments on Costa Rican and Panamanian Reithrodontomys",Bulletin of the American Museum of Natural History,2009,331,157-182,American Museum of Natural History,10.1206/582-5.1,,,Yes,No,NA,NA,KNP
2009,"Gingerich, Philip D; Ul-Haq, Munir; von Koenigswald, Wighart; Sanders, William J; Smith, B Holly; Zalmout, Iyad S; ","New protocetid whale from the middle Eocene of Pakistan: birth on land, precocial development, and sexual dimorphism",PLoS one,4,2,e4366,"Public Library of Science San Francisco, USA",10.1371/journal.pone.0004366,,,Yes,No,NA,NA,KNP
2009,"Goodwin, Thomas; ",Odontometric patterns in the radiation of extant ground-dwelling squirrels within Marmotini (Sciuridae: Xerini),Journal of Mammalogy,90,4,1009-1019,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence …",10.1644/08-MAMM-A-229.1,,,Yes,No,NA,NA,KNP
2009,"Helgen, Lauren E; Balete, Danilo S; Myers, Philip; Heaney, Lawrence R; Gutiérrez, Eliécer E; Holden, Mary Ellen; Almeida, Francisca Cunha; Giannini, Norberto P; Lunde, Darrin P; Levine, Rebecca S; ","Systematic mammalogy: contributions in honor of Guy G. Musser.(Bulletin of the American Museum of Natural History, no. 331)",,,,,New York: American Museum of Natural History.,,,,Yes,No,NA,NA,KNP
2009,"Kays, Roland W; Wilson, Don E; ",Mammals of North America,,,,,Princeton University Press,,,Would have to be purchaced,No,No,NA,NA,KNP
2009,"Melkadze, Ninell; Ninua, Nargiza; Skhirtladze, Izabella; ",Catalogue of the type specimens of caucasian large mammalian fauna in the collection of the national museum of Georgia,,,,,თბილისი,,,,No,No,NA,NA,KNP
2009,"Myers, Philip; Lundrigan, Barbara L; Hoffman, Susan MG; Haraminac, Allison Poor; Seto, Stephanie H; ",Climate‐induced changes in the small mammal communities of the Northern Great Lakes Region,Global Change Biology,15,6,1434-1454,Wiley Online Library,10.1111/j.1365-2486.2009.01846.x,,Would Have to be purchaced,No,No,NA,NA,KNP
2009,"Smith, Paul; ",FAUNA Paraguay Handbook of the Mammals of Paraguay,On-line). Accessed June,25,,2013,,,,"no PDF option, but full book content on a Website",No,No,NA,NA,KNP
2009,"Stankowich, Theodore; Caro, Tim; ",Evolution of weaponry in female bovids,Proceedings of the Royal Society B: Biological Sciences,276,1677,4329-4334,The Royal Society,10.1098/rspb.2009.1256,,Would Have to be purchaced,No,No,NA,NA,KNP
2009,"Voss, Robert S; Jansa, Sharon A; ","Phylogenetic relationships and classification of didelphid marsupials, an extant radiation of New World metatherian mammals",Bulletin of the American Museum of Natural History,2009,322,1-177,American Museum of Natural History,10.1206/322.1,,,Yes,No,NA,NA,KNP
2009,"Voss, Robert S; Myers, Philip; Catzeflis, François; Carmignotto, Ana Paula; Barreiro, Josefina; ",". The Six Opossums of Félix de Azara: Identification, Taxonomic History, Neotype Designations, and Nomenclatural Recommendations",Bulletin of the American Museum of Natural History,2009,331,406-433,American Museum of Natural History,10.1206/582-11.1,,,Yes,No,NA,NA,KNP
2009,"Zelditch, M. L.; Wood, A. R.; Swiderski, D. L.; ",Building developmental integration into functional systems: Function-induced integration of mandibular shape,Evolutionary Biology,36,,71-87,,10.1007/s11692-008-9034-7,,,Yes,No,NA,NA,KNP
2008,"Boyer, Doug M; Bloch, Jonathan I; ","11. Evaluating the Mitten-Gliding Hypothesis for Paromomyidae and Micromomyidae (Mammalia,“Plesiadapiformes”) Using Comparative Functional Morphology of New Paleogene Skeletons",,,,,,10.1007/978-1-4020-6997-0_11,,,Yes,No,NA,NA,KNP
2008,"Braun, Janet K; Coyner, Brandi S; Mares, Michael A; Van Den Bussche, Ronald A; ","Phylogenetic relationships of South American grass mice of the Akodon varius group (Rodentia, Cricetidae, Sigmodontinae) in South America",Journal of Mammalogy,89,3,768-777,,10.1644/07-MAMM-A-269R1.1,,,Yes,No,NA,NA,KNP
2008,"D’Elía, GUILLERMO; Mora, Ismael; Myers, Phil; Owen, Robert D; ","New and noteworthy records of Rodentia (Erethizontidae, Sciuridae, and Cricetidae) from Paraguay",Zootaxa,1784,1,39-57,,,,,Yes,No,NA,NA,KNP
2008,"Gardner, Alfred L; ","Mammals of South America, volume 1: marsupials, xenarthrans, shrews, and bats",,,,,University of Chicago Press,,,Book would have to be purchaced,No,No,NA,NA,KNP
2008,"Goodman, S.M.; Jansen van Vuuren, B.; Ratrimomanarivo, F.; Probst, J.-M.; Bowie, R.C.K.; ","Specific Status of Populations in the Mascarene Islands Referred to Mormopterus acetabulosus (Chiroptera: Molossidae), with Description of a New Species",Journal of Mammalogy,89,5,1316-1327,Oxford University Press,10.1644/07-MAMM-A-232.1,,,Yes,No,NA,NA,KNP
2008,"Hoffman, Justin D; Genoways, Hugh H; ",Characterization of a contact zone between two subspecies of the big brown bat (Eptesicus fuscus) in Nebraska,Western North American Naturalist,68,1,36-45,"Monte L. Bean Life Science Museum, Brigham Young University",10.3398/1527-0904(2008)68[36:COACZB]2.0.CO;2,,,Yes,No,NA,NA,KNP
2008,"Illoldi‐Rangel, Patricia; Fuller, Trevon; Linaje, Miguel; Pappas, Christopher; Sánchez‐Cordero, Víctor; Sarkar, Sahotra; ",Solving the maximum representation problem to prioritize areas for the conservation of terrestrial mammals at risk in Oaxaca,Diversity and distributions,14,3,493-508,Wiley Online Library,10.1111/j.1472-4642.2007.00458.x,,,Yes,No,NA,NA,KNP
2008,"Johnsen, Jill M; Levy, Gallia G; Westrick, Randal J; Tucker, Priscilla K; Ginsburg, David; ","The endothelial-specific regulatory mutation, Mvwf1, is a common mouse founder allele",Mammalian Genome,19,1,32-40,Springer,10.1007/s00335-007-9079-4,,,Yes,No,NA,NA,KNP
2008,"Moreira, Danielle de Oliveira; Coutinho, Bruno Rocha; Mendes, Sérgio Lucena; ",Current state of knowledge on Espírito Santo mammals based on museum records and published data,Biota Neotropica,8,,163-173,Instituto Virtual da Biodiversidade| BIOTA-FAPESP,10.1590/S1676-06032008000200017,,,Yes,No,NA,NA,KNP
2008,"Naya, Daniel E; Bozinovic, Francisco; Karasov, William H; ",Latitudinal trends in digestive flexibility: testing the climatic variability hypothesis with data on the intestinal length of rodents,The American Naturalist,172,4,E122-E134,JSTOR,10.1086/590957,,,Yes,Yes,Yes,42882,KNP
2008,"Rickart, Eric A; Robson, Shannen L; Heaney, Lawrence R; ","Mammals of Great Basin National Park, Nevada: comparative field surveys and assessment of faunal change",Monographs of the Western North American Naturalist,4,1,77-114,"Monte L. Bean Life Science Museum, Brigham Young University",10.3398/1545-0228-4.1.77,,,Yes,No,NA,NA,KNP
2008,"Schmidt, David F; Ludwig, Craig A; Carleton, Michael D; ",The Smithsonian Institution African Mammal Project (1961-1972): an annotated gazetteer of collecting localities and summary of its taxonomic and geographic scope,,,,,,,,,Yes,No,NA,NA,KNP
2008,"Teeter, Katherine C; Payseur, Bret A; Harris, Leslie W; Bakewell, Margaret A; Thibodeau, Lisa M; O’Brien, Janelle E; Krenz, James G; Sans-Fuentes, Maria A; Nachman, Michael W; Tucker, Priscilla K; ",Genome-wide patterns of gene flow across a house mouse hybrid zone,Genome research,18,1,67-76,Cold Spring Harbor Lab,10.1101/gr.6757907,,,Yes,No,NA,NA,KNP
2008,"Zelditch, M. L.; Wood, A. R.; Bonnet, R. M.; Swiderski, D. L.; ","Modularity of the rodent mandible: Integrating muscles, bones and teeth",Evolution & Development,10,,756–768,,10.1111/j.1525-142X.2008.00290.x,,,Yes,No,NA,NA,KNP
2007,"Baumgarten, Amrei; Williamson, G Bruce; ",The distributions of howling monkeys (Alouatta pigra and A. palliata) in southeastern Mexico and Central America,Primates,48,4,310-315,Springer,10.1007/s10329-007-0049-y,,,Yes,No,NA,NA,KNP
2007,"Carleton, Michael D; Goodman, Steven M; ","A New Species of the Eliurus Majori Complex (Rodentia, Muroidea, Nesomyidae) from South-central Madagascar, Mith Remarks on Emergent Species Groupings in the Genus Eliurus",,,,,,10.1206/0003-0082(2007)3547[1:ANSOTE]2.0.CO;2,,,Yes,No,NA,NA,KNP
2007,"D'ELIA, Guillermo; Myers, Philip; ","On Paraguayan Thrichomys (Hystricognathi: Echimyidae): the distinctiveness of Thrichomys fosteri Thomas, 1903. Therya [online]. 2014, vol. 5, n. 1",ISSN,3364,,153-166,,,,,Yes,No,NA,NA,KNP
2007,"Duya, Mariano Roy M; Alviola, Phillip A; Duya, Melizar V; Balete, Danilo S; Heaney, Lawrence R; ","Report on a survey of mammals of the Sierra Madre Range, Luzon Island, Philippines",Banwa,4,,41-68,,,,,Yes,No,NA,NA,KNP
2007,"Estupiñán, Juan Pablo Carrera; ",Relational database for Ecuadorian mammals deposited in museums around the world,,,,,Texas Tech University,,,,Yes,No,NA,NA,KNP
2007,"Gruber, Karl F; Voss, Robert S; Jansa, Sharon A; ",Base-compositional heterogeneity in the RAG1 locus among didelphid marsupials: implications for phylogenetic inference and the evolution of GC content,Systematic biology,56,1,83-96,Oxford University Press,10.1080/10635150601182939,,,Yes,No,NA,NA,KNP
2007,"McCain, Christy M; Timm, Robert M; Weksler, Marcelo; ",Redescription of the enigmatic long-tailed rat Sigmodontomys aphrastus (Cricetidae: Sigmodontinae) with comments on taxonomy and natural history,Proceedings of the Biological Society of Washington,120,2,117-136,Biological Society of Washington,10.2988/0006-324X(2007)120[117:ROTELR]2.0.CO;2,,,Yes,No,NA,NA,KNP
2007,"Myers, P; Gonçalves, PR; Vilela, JÚLIO FERNANDO; de Oliveira, JOÃO ALVES; ",Systematics of species of the genus Akodon (Rodentia: Sigmodontinae) in southeastern Brazil and implications for the biogeography of the Campos de Altitude.,,,,,,,,,Yes,No,NA,NA,KNP
2007,"Patterson, B; Rogers, M; Gardner, AL; ","Order Microbiotheria Ameghino, 1889",Mammals of South America,1,,117-119,,,,,Yes,No,NA,NA,KNP
2007,"Tucker, Priscilla K; ",Systematics of the genus Mus,The Mouse in Biomedical Research,,,13-23,Academic Press,10.1016/B978-012369454-6/50014-5,,,Yes,No,NA,NA,KNP
2006,"Abuzeineh, Alisa A; ","Landmark morphometric assessment of the genus Baiomys (Mammalia: Rodentia): geographic variation, secondary sexual dimorphism, and character displacement in sister species",,,,,,,,,Yes,No,NA,NA,KNP
2006,"Balete, Danilo S; Rickart, Eric A; Heaney, Lawrence R; ","A new species of the shrew‐mouse, Archboldomys (Rodentia: Muridae: Murinae), from the Philippines",Systematics and Biodiversity,4,4,489-501,Taylor & Francis Group,10.1017/S1477200006002003,,,Yes,No,NA,NA,KNP
2006,"Bochkov, Andre V; Mironov, Sergey V; OConnor, Barry M; ","Revision of the genus Galagocheles Fain (Acari: Cheyletidae), parasites of galagos (Primates: Galagonidae)",Systematic parasitology,63,3,181-200,Springer Netherlands,10.1007/s11230-005-9008-4,,,Yes,No,NA,NA,KNP
2006,"Bochkov, Andre V; O'Connor, Barry M; ","Fur-mites of the family Atopomelidae (Acari: Astigmata) parasitic on Philippine mammals: systematics, phylogeny, and host-parasite relationships",,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,KNP
2006,"BoCHKoV, Andre V; OConnor, BM; ",Revision of the fur-mite family Listrophoridae (Acari: Astigmata) associated with Philippine mammals,Bulletin de Institut royal des Sciences Naturelles de Belgique. Entomologie,76,,5-24,,,,,Yes,No,NA,NA,KNP
2006,"Carleton, Michael D; Byrne, Ellen Schaefer; ","The status of Otomys orestes dollmani Heller, 1912 (Muridae: Otomyinae), a rodent described from the Mathews Range, central Kenya",Proceedings of the Biological Society of Washington,119,4,477-515,Biological Society of Washington,10.2988/0006-324X(2006)119[477:TSOOOD]2.0.CO;2,,,Yes,No,NA,NA,KNP
2006,"Carleton, Michael D; Peterhans, Julian C Kerbis; Stanley, William T; ","Review of the Hylomyscus denniae group (Rodentia: Muridae) in eastern Africa, with comments on the generic allocation of Epimys endorobae Heller",Proceedings of the Biological Society of Washington,119,2,293-325,Biological Society of Washington,10.2988/0006-324X(2006)119[293:ROTHDG]2.0.CO;2,,,Yes,No,NA,NA,KNP
2006,"Corace III, R Gregory; Lundrigan, Barbara; Myers, Philip; ",Nest site habitat and prey use of a breeding pair of Great Gray Owls in the Upper Peninsula of Michigan,Ann Arbor,1001,,48109,,,,,Yes,No,NA,NA,KNP
2006,"Croft, Darin A; Heaney, Lawrence R; Flynn, John J; Bautista, Angel P; ","Fossil remains of a new, diminutive Bubalus (Artiodactyla: Bovidae: Bovini) from Cebu island, Philippines",Journal of mammalogy,87,5,1037-1051,,10.1644/06-MAMM-A-018R.1,,,Yes,No,NA,NA,KNP
2006,"D? El  a, Guillermo; Luna, Lucia; Patterson, Bruce D; ","On the Sigmodontinae radiation (Rodentia, Cricetidae): An appraisal of the phylogenetic position of Rhagomys",Molecular Phylogenetics and Evolution,38,2,558,"Orlando, FL: Academic Press, c1992-",10.1016/j.ympev.2005.08.011,,,Yes,No,NA,NA,KNP
2006,"Heaney, Lawrence R; Tabaranza Jr, Blas R; Rickart, Eric A; Balete, Danilo S; Ingle, Nina R; ","The mammals of Mt. Kitanglad Nature Park, Mindanao, Philippines",Fieldiana Zoology,2006,112,1-63,Field Museum of Natural History,10.3158/0015-0754(2006)186[1:TMOMKN]2.0.CO;2,,,Yes,No,NA,NA,KNP
2006,"Heaney, Lawrence R; Tabaranza Jr, BR; Balete, DS; Rigertas, N; ","The mammals and birds of Camiguin Island, Philippines, a distinctive center of biodiversity",,,,,Field Museum of Natural History,,,,Yes,No,NA,NA,KNP
2006,"Heaney, Lawrence R; Tabaranza, Blas R; ","Mammal and land bird studies on Camiguin Island, Philippines: Background and conservation priorities",Fieldiana Zoology,2006,106,1-13,Field Museum of Natural History,10.3158/0015-0754(2006)106[1:MALBSO]2.0.CO;2,,,Yes,No,NA,NA,KNP
2006,"Heaney, Lawrence R; Tabaranza, Blas R; ","A new species of forest mouse, genus Apomys (Mammalia: Rodentia: Muridae), from Camiguin Island, Philippines",Fieldiana Zoology,2006,106,14-27,Field Museum of Natural History,10.3158/0015-0754(2006)106[14:ANSOFM]2.0.CO;2,,,Yes,No,NA,NA,KNP
2006,"Heaney, Lawrence R; Tabaranza, Blas R; Balete, Danilo S; Rigertas, Natalie; ","Synopsis and biogeography of the mammals of Camiguin Island, Philippines",Fieldiana Zoology,2006,106,28-48,Field Museum of Natural History,10.3158/0015-0754(2006)106[28:SABOTM]2.0.CO;2,,,Yes,No,NA,NA,KNP
2006,"Jansa, Sharon A; Barker, F Keith; Heaney, Lawrence R; ",The pattern and timing of diversification of Philippine endemic rodents: evidence from mitochondrial and nuclear gene sequences,Systematic Biology,55,1,73-88,Oxford University Press,10.1080/10635150500431254,,,Yes,No,NA,NA,KNP
2006,"Jansa, Sharon A; Forsman, Jessica F; Voss, Robert S; ",Different patterns of selection on the nuclear genes IRBP and DMP-1 affect the efficiency but not the outcome of phylogeny estimation for didelphid marsupials,Molecular phylogenetics and evolution,38,2,363-380,Elsevier,10.1016/j.ympev.2005.06.007,,,Yes,No,NA,NA,KNP
2006,"McCarthy, Timothy J; Albuja, Luis; Alberico, Michael S; ",A new species of chocoan Sturnira (Chiroptera: Phyllostomidae: Stenodermatinae) from western Ecuador and Colombia,Annals of Carnegie Museum,75,2,97-110,Carnegie Museum of Natural History,10.2992/0097-4463(2006)75[97:ANSOCS]2.0.CO;2,,,Yes,No,NA,NA,KNP
2006,"O'Brien, Carrie; McShea, William J; Guimondou, Sylvain; Barriere, Patrick; Carleton, Michael D; ",Terrestrial small mammals (Soricidae and Muridae) from the Gamba Complex in Gabon: species composition and comparison of sampling tecnhiques,Bulletin of the Biological Society of Washington,,,,,,,,Yes,No,NA,NA,KNP
2006,"Patterson, Bruce D; Velazco, Paul M; ","A distinctive new cloud-forest rodent (Hystricognathi: Echimyidae) from the Manu Biosphere Reserve, Peru",Mastozoología neotropical,13,2,175-191,SAREM,,,,Yes,No,NA,NA,KNP
2006,"Reid, Fiona; ","A field guide to mammals of North America, north of Mexico",,,,,Houghton Mifflin Harcourt,,,Book Could be Purchaced,No,No,NA,NA,KNP
2006,"Sandstedt, Sara A; Tucker, Priscilla K; ",Inefficient purifying selection: the mammalian Y chromosome in the rodent genus Mus,Mammalian genome,17,1,14-21,Springer,10.1007/s00335-005-0050-y,,,Yes,No,NA,NA,KNP
2006,"Solari, Sergio; Pacheco, Víctor; Luna, Lucía; Velazco, Paul M; Patterson, Bruce D; ",Mammals of the manu biosphere reserve,Fieldiana Zoology,2006,110,13-22,Field Museum of Natural History,,,,Yes,No,NA,NA,KNP
2006,"Wallace, Steven C; ",Differentiating Microtus xanthognathus and Microtus pennsylvanicus lower first molars using discriminant analysis of landmark data,Journal of Mammalogy,87,6,1261-1269,,10.1644/05-MAMM-A-209R3.1,,,Yes,No,NA,NA,KNP
2006,"Weksler, Marcelo; Percequillo, Alexandre Reis; Voss, Robert S; ",Ten new genera of oryzomyine rodents (Cricetidae: Sigmodontinae),American Museum Novitates,2006,3537,1-29,American Museum of Natural History,10.1206/0003-0082(2006)3537[1:TNGOOR]2.0.CO;2,,,Yes,No,NA,NA,KNP
2005,"Bozikova, Eva; Munclinger, Pavel; Teeter, Katherine C; Tucker, Priscilla K; Macholan, Milos; Pialek, Jaroslav; ",The genus Mus as a model for evolutionary studiesEdited by J. Britton-Davidian and JB Searle. Mitochondrial DNA in the hybrid zone between Mus musculus musculus and Mus musculus domesticus: a,Biological Journal of the Linnean Society,84,3,363-378,[London] Published for the Linnean Society of London by Academic Press.,,,,Yes,No,NA,NA,KNP
2005,"BoŽÍKovÁ, EVA; Munclinger, Pavel; Teeter, Katherine C; Tucker, Priscilla K; Macholán, Miloš; Pialek, Jaroslav; ",Mitochondrial DNA in the hybrid zone between Mus musculus musculus and Mus musculus domesticus: a comparison of two transects,Biological Journal of the Linnean Society,84,3,363-378,Oxford University Press,10.1111/j.1095-8312.2005.00440.x,,,Yes,No,NA,NA,KNP
2005,"Carleton, Michael D; Lawlor, Timothy E; ","Peromyscus from Santa Catalina Island, Sea of Cortez, Mexico: taxonomic identities and biogeographic implications",Journal of mammalogy,86,4,814-825,,10.1644/1545-1542(2005)086[0814:PFSCIS]2.0.CO;2,,,Yes,No,NA,NA,KNP
2005,"Carleton, Michael D; Musser, Guy G; ",Order rodentia,Mammal species of the world: a taxonomic and geographic reference,2,,745-2142,"Johns Hopkins University Press Baltimore, Maryland",,,,No,No,NA,NA,KNP
2005,"D’Elía, Guillermo; Pardiñas, Ulyses FJ; Myers, Philip; Lacey, EA; ",An introduction to the genus Bibimys (Rodentia: Sigmodontinae): phylogenetic position and alpha taxonomy,University of California Publications in Zoology,133,,211-246,,,,,Yes,No,NA,NA,KNP
2005,"Espinosa, R; Dewey, T; Hammond, G; Myers, P; ","Building a biodiversity content management system for science, education, and outreach",Data Science Journal,4,,1-11,CODATA,10.2481/dsj.4.1,,,Yes,No,NA,NA,KNP
2005,"Freitas, TRO; Lacey, EA; Myers, P; ","Analysis of skull morphology in 15 species of the genus Ctenomys, including seven karyologically distinct forms of Ctenomys minutus (Rodentia: Ctenomyidae)",Mammalian diversification from chromosomes to phylogeography (a celebration of the career of James L. Patton),133,,131-154,"University of California Publications in Zoology Berkeley, CA",,,Could be purchaced,No,No,NA,NA,KNP
2005,"Gingerich, Philip D; Gunnell, Gregg F; ","Brain of Plesiadapis cookei (Mammalia, Proprimates): surface morphology and encephalization compared to those of Primates and Dermoptera",,,,,"Museum of Paleontology, the University of Michigan",,,,Yes,No,NA,NA,KNP
2005,"MATSON, JOHN O; MCCARTHY, TIMOTHY J; ",A NEW SUBSPECIES OF VERAPAZ SHREW A NEW SUBSPECIES OF VERAPAZ SHREW A NEW SUBSPECIES OF VERAPAZ SHREW A NEW SUBSPECIES OF VERAPAZ SHREW (SOREX VERAEPACIS)(SOREX VERAEPACIS)(SOREX VERAEPACIS)(SOREX VERAEPACIS) FROMFROMFROMFROM GUATEMALAGUATEMALAGUATEMALAGUATEMALA,Advances in the Biology of Shrews II,1,,63,Lulu. com,,,Google Book Found,No,No,NA,NA,KNP
2005,"Meiri, Shai; ",Small carnivores on small islands. New data based on old skulls,Small Carnivore Conservation,33,2,,,,,,Yes,No,NA,NA,KNP
